SN,TITLE,CONTENT_link,DATE,VOTE
192126.0,매년 이른 봄(2~3월)에는 산림훼손 무단경작 단속 필요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192126,2022-02-10 09:34:29.0,5.0
192115.0,일회용 배달용기 플라스틱 줄이기,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192115,2022-02-07 13:12:06.0,2.0
192103.0,코로나시기에 서울시향과 함께하는 양수경씨 콘서트 제안합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192103,2022-02-04 12:49:41.0,9.0
192101.0,코로나로 힘든 시기,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192101,2022-02-04 08:44:00.0,5.0
192098.0,서초동 삼풍아파트에 시내버스 신설하자,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192098,2022-02-03 15:04:24.0,3.0
192095.0,"금천구(가산동,독산동,시흥동) - 판교,분당 간 광역버스 노선 신설",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192095,2022-02-01 19:14:11.0,1.0
192086.0,지하철 5호선연장,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192086,2022-01-28 20:51:52.0,11.0
192083.0,강서구 화곡동이 3080 재개발 후보지 발표에서 빠진 이유는 무엇입니까?,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192083,2022-01-27 12:00:30.0,135.0
192082.0,"화곡2,4,8동 공공주택 복합사업 후보지 지정에 협조바랍니다.",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192082,2022-01-27 11:57:39.0,368.0
192079.0,"광장동 530-1, 530-84 필지 아차산 진입공원 조성",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192079,2022-01-26 14:11:52.0,39.0
192077.0,서울시 공공기관부터 전면 재택 전환 시급,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192077,2022-01-26 09:15:54.0,6.0
192076.0,수녀라는 이름,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192076,2022-01-26 08:15:27.0,5.0
192055.0,지역구 그린오션 정책 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192055,2022-01-24 02:03:41.0,22.0
